renames readBW negerr poserr
1010000 19232.993183 0 0
1020000 19414.038264 0 0
1030000 18837.294515 0 0
1040000 19019.500145 0 0
1050000 19043.552278 0 0
1060000 19214.710376 0 0
1070000 18511.44393 0 0
1080000 18679.522421 0 0
1090000 18519.424353 0 0
1100000 18647.617165 0 0
1110000 17864.871081 0 0
1120000 18023.552954 0 0
1130000 18044.192239 0 0
1140000 18183.42772 0 0
1150000 17628.126126 0 0
1160000 17773.90756 0 0
1170000 17811.708863 0 0
1180000 17948.492481 0 0
1190000 17436.866236 0 0
1200000 17582.980753 0 0
1210000 17648.605414 0 0
1220000 17778.02259 0 0
1230000 17311.754724 0 0
1240000 17441.464091 0 0
1250000 17468.701084 0 0
1260000 17597.267921 0 0
1270000 17069.62771 0 0
1280000 17195.912521 0 0
1290000 17242.449762 0 0
1300000 17363.390056 0 0
1310000 16942.066861 0 0
1320000 17059.909426 0 0
1330000 17110.658449 0 0
1340000 17231.23102 0 0
1350000 16835.53708 0 0
1360000 16954.772086 0 0
1370000 17021.788598 0 0
1380000 17132.523571 0 0
1390000 16795.275786 0 0
1400000 16905.262715 0 0
1410000 16934.736743 0 0
1420000 17047.634067 0 0
1430000 16664.375801 0 0
1440000 16771.414243 0 0
1450000 16837.012724 0 0
1460000 16941.236536 0 0
1470000 16547.947712 0 0
1480000 16650.039877 0 0
1490000 16719.495597 0 0
1500000 16772.68757 0 0
1510000 16249.313278 0 0
1520000 16307.94376 0 0
1530000 16320.365054 0 0
1540000 16413.067718 0 0
1550000 15897.840436 0 0
1560000 15973.780391 0 0
1570000 16002.048751 0 0
1580000 16080.522954 0 0
1590000 15588.272278 0 0
1600000 15636.357584 0 0
1610000 15676.19974 0 0
1620000 15734.78442 0 0
1630000 15393.891385 0 0
1640000 15440.06448 0 0
1650000 15477.291966 0 0
1660000 15559.923666 0 0
1670000 15177.579222 0 0
1680000 15225.931894 0 0
1690000 15291.441852 0 0
1700000 15330.712184 0 0
1710000 14915.355488 0 0
1720000 14966.700267 0 0
1730000 15005.185549 0 0
1740000 15041.19121 0 0
1750000 14556.902245 0 0
1760000 14591.912421 0 0
1770000 14617.799062 0 0
1780000 14684.103561 0 0
1790000 14451.926317 0 0
1800000 14511.87869 0 0
1810000 14570.017883 0 0
1820000 14635.628969 0 0
1830000 14259.345072 0 0
1840000 14244.005559 0 0
1850000 14306.617414 0 0
1860000 14379.617718 0 0
1870000 14079.604048 0 0
1880000 14133.431395 0 0
1890000 14190.39793 0 0
1900000 14235.721322 0 0
1910000 13925.784522 0 0
1920000 13961.739496 0 0
1930000 14012.728596 0 0
1940000 14060.228904 0 0
1950000 13761.192763 0 0
1960000 13779.753476 0 0
1970000 13169.525208 0 0
1980000 13184.454561 0 0
1990000 12804.441193 0 0
2000000 12856.441878 0 0
2010000 9502.174686 0 0
2020000 9401.805341 0 0
2030000 8059.641218 0 0
2040000 8077.141612 0 0
2050000 6059.755885 0 0
2060000 6088.729236 0 0
2070000 6079.170464 0 0
2080000 6106.472932 0 0
2090000 6127.760236 0 0
2100000 6156.524607 0 0
2110000 6168.14562 0 0
2120000 6194.870239 0 0
2130000 6214.217213 0 0
2140000 6241.127701 0 0
2150000 6249.594067 0 0
2160000 6270.954223 0 0
2170000 6278.174465 0 0
2180000 6293.578102 0 0
2190000 6277.583998 0 0
2200000 6297.662823 0 0
2210000 6308.499162 0 0
2220000 6331.169496 0 0
2230000 6328.285341 0 0
2240000 6352.287803 0 0
2250000 6365.142835 0 0
2260000 6389.605295 0 0
2270000 6368.995492 0 0
2280000 6384.921709 0 0
2290000 6352.30699 0 0
2300000 6375.775848 0 0
2310000 6356.698036 0 0
2320000 6378.744212 0 0
2330000 6388.18606 0 0
2340000 6413.650564 0 0
2350000 6408.338139 0 0
2360000 6428.335248 0 0
2370000 6427.738583 0 0
2380000 6446.891591 0 0
2390000 6404.157877 0 0
2400000 6418.695229 0 0
2410000 6417.942526 0 0
2420000 6439.795338 0 0
2430000 6422.287916 0 0
2440000 6440.524677 0 0
2450000 6447.657378 0 0
2460000 6468.898707 0 0
2470000 6430.422808 0 0
2480000 6442.098189 0 0
2490000 6442.612243 0 0
2500000 6464.367843 0 0
2510000 6433.37646 0 0
2520000 6449.208105 0 0
2530000 6451.027581 0 0
2540000 6473.283523 0 0
2550000 6447.462385 0 0
2560000 6459.938002 0 0
2570000 6455.703179 0 0
2580000 6476.194393 0 0
2590000 6441.472955 0 0
2600000 6454.792313 0 0
2610000 6453.156955 0 0
2620000 6474.670031 0 0
2630000 6456.836328 0 0
2640000 6474.175833 0 0
2650000 6474.506031 0 0
2660000 6492.698393 0 0
2670000 6455.899989 0 0
2680000 6470.061503 0 0
2690000 6469.708349 0 0
2700000 6487.829721 0 0
2710000 6438.185397 0 0
2720000 6447.175546 0 0
2730000 6443.701594 0 0
2740000 6462.465707 0 0
2750000 6440.143027 0 0
2760000 6452.622849 0 0
2770000 6451.264894 0 0
2780000 6470.24214 0 0
2790000 6443.170926 0 0
2800000 6454.103191 0 0
2810000 6454.578986 0 0
2820000 6470.022033 0 0
2830000 6447.133097 0 0
2840000 6453.996029 0 0
2850000 6455.285043 0 0
2860000 6470.198091 0 0
2870000 6440.00036 0 0
2880000 6452.055976 0 0
2890000 6458.946428 0 0
2900000 6469.870316 0 0
2910000 6433.522161 0 0
2920000 6442.634453 0 0
2930000 6451.74934 0 0
2940000 6462.183856 0 0
2950000 6429.132662 0 0
2960000 6436.27122 0 0
