renames readBW negerr poserr
1550000 15400.298621 0 0
1560000 15368.171744 0 0
1570000 14971.168771 0 0
1580000 15060.953298 0 0
1590000 15146.967309 0 0
1600000 15144.276589 0 0
1610000 14787.972349 0 0
1620000 14871.936788 0 0
1630000 14958.059254 0 0
1640000 14929.155423 0 0
1650000 14575.676355 0 0
1660000 14659.538316 0 0
1670000 14747.074949 0 0
1680000 14736.869123 0 0
1690000 14392.169869 0 0
1700000 14463.587362 0 0
1710000 14535.267463 0 0
1720000 14361.517452 0 0
1730000 14048.474758 0 0
1740000 14119.055299 0 0
1750000 14194.564441 0 0
1760000 14214.916846 0 0
1770000 13968.046854 0 0
1780000 14024.295343 0 0
1790000 14062.953621 0 0
1800000 14047.987003 0 0
1810000 13716.440124 0 0
1820000 13791.994235 0 0
1830000 13861.695306 0 0
1840000 13858.280583 0 0
1850000 13601.068729 0 0
1860000 13673.362211 0 0
1870000 13744.573521 0 0
1880000 13732.235491 0 0
1890000 13378.763840 0 0
1900000 13445.727919 0 0
1910000 13513.880666 0 0
1920000 13491.540098 0 0
1930000 13249.329927 0 0
1940000 13312.558149 0 0
1950000 13379.394036 0 0
1960000 13349.072526 0 0
1970000 13038.476073 0 0
1980000 13099.496818 0 0
1990000 13146.143785 0 0
2000000 13142.813877 0 0
2010000 8226.593555 0 0
2020000 8220.825704 0 0
2030000 8259.113569 0 0
2040000 8266.521168 0 0
2050000 5752.431527 0 0
2060000 5779.820656 0 0
2070000 5807.032463 0 0
2080000 5832.323612 0 0
2090000 5792.756027 0 0
2100000 5819.478803 0 0
2110000 5846.971008 0 0
2120000 5868.417826 0 0
2130000 5865.185086 0 0
2140000 5890.990351 0 0
2150000 5918.061504 0 0
2160000 5936.719126 0 0
2170000 5927.369910 0 0
2180000 5950.493494 0 0
2190000 5977.776494 0 0
2200000 5989.096219 0 0
2210000 5947.017904 0 0
2220000 5973.086451 0 0
2230000 5998.802661 0 0
2240000 6017.586747 0 0
2250000 5997.771916 0 0
2260000 6023.712156 0 0
2270000 6048.774267 0 0
2280000 6060.249131 0 0
2290000 6021.069172 0 0
2300000 6043.960007 0 0
2310000 6069.548018 0 0
2320000 6082.831309 0 0
2330000 6050.966161 0 0
2340000 6075.247438 0 0
2350000 6101.182140 0 0
2360000 6116.283941 0 0
2370000 6082.670920 0 0
2380000 6101.621183 0 0
2390000 6127.168081 0 0
2400000 6140.941673 0 0
2410000 6102.792402 0 0
2420000 6122.732490 0 0
2430000 6147.985487 0 0
2440000 6162.571142 0 0
2450000 6120.952750 0 0
2460000 6138.145538 0 0
2470000 6163.090475 0 0
2480000 6173.596223 0 0
2490000 6138.372797 0 0
2500000 6158.449809 0 0
2510000 6182.214634 0 0
2520000 6194.425769 0 0
2530000 6154.160400 0 0
2540000 6174.212964 0 0
2550000 6197.825354 0 0
2560000 6208.593351 0 0
2570000 6167.044108 0 0
2580000 6187.313343 0 0
2590000 6210.058906 0 0
2600000 6211.521699 0 0
2610000 6152.969919 0 0
2620000 6173.527825 0 0
2630000 6196.695343 0 0
2640000 6204.969374 0 0
2650000 6164.991442 0 0
2660000 6185.364266 0 0
2670000 6207.657859 0 0
2680000 6215.139993 0 0
2690000 6172.159376 0 0
2700000 6192.664144 0 0
2710000 6213.654891 0 0
2720000 6217.618182 0 0
2730000 6169.618640 0 0
2740000 6188.585516 0 0
2750000 6210.339502 0 0
2760000 6215.514969 0 0
2770000 6173.246860 0 0
2780000 6192.637410 0 0
2790000 6212.559268 0 0
2800000 6215.374758 0 0
2810000 6168.106654 0 0
2820000 6187.256434 0 0
2830000 6206.516417 0 0
2840000 6210.545935 0 0
2850000 6161.958118 0 0
2860000 6180.581882 0 0
2870000 6199.972862 0 0
2880000 6199.651444 0 0
2890000 6154.728883 0 0
2900000 6172.082973 0 0
2910000 6191.594645 0 0
2920000 6195.412988 0 0
2930000 6149.720452 0 0
2940000 6165.918176 0 0
2950000 6184.210301 0 0
2960000 6167.710757 0 0

