#files c_throughput i_throughput
1040000 11848.353786 14600.2772723256
1050000 11591.228632 12009.3504655801
1060000 11636.442453 11127.4808667477
1070000 11745.997137 12031.6420198148
1080000 11822.809971 11195.2778354996
1090000 11692.603221 15176.8674593735
1100000 11704.16269 13838.3261465747
1110000 11768.270789 12397.1194057708
1120000 11829.154521 12003.0691795496
1130000 11665.386864 10969.6002208839
1140000 11690.258 11320.4161547954
1150000 11792.700366 12513.5537561604
1160000 11848.122916 12405.0971180411
1170000 11704.595341 12932.5534805681
1180000 11669.041267 11095.1464354058
1190000 11767.828342 11095.0602608894
1200000 11816.053819 10956.0705570291
1210000 11707.099667 11780.8282955403
1220000 11737.098687 14176.1478589939
1230000 11832.941493 14164.5918278997
1240000 11864.396644 13524.3558237007
1250000 11682.225631 10976.7285117416
1260000 11724.632926 11356.748102301
1270000 11817.684249 11366.9980291484
1280000 11865.264655 11892.2361357077
1290000 11723.854265 13192.9820158146
1300000 11753.884118 12756.3792939864
1310000 11843.929164 12742.4083854008
1320000 11875.504658 12212.7820566169
1330000 11698.668786 10940.6945955149
1340000 11756.791363 11852.0660767542
1350000 11831.536173 11439.523966915
1360000 11878.330229 11972.3343574407
1370000 11720.625661 12500.746122349
1380000 11745.786155 11388.6558375102
1390000 11830.701068 11802.5852404477
1400000 11877.496788 11849.2292174941
1410000 11743.19609 12572.4131702675
1420000 11792.785217 13681.4673611685
1430000 11854.216579 12733.7559194565
1440000 11906.945829 13038.4045989944
1450000 11727.951102 11214.7478397638
1460000 11786.700854 11574.7003767469
1470000 11859.05843 12034.7913701013
1480000 11889.878898 11306.4552559311
1490000 11774.862666 13771.7572309956
1500000 11818.549153 13111.688967703
1510000 11881.049731 12749.9427160434
1520000 11879.226406 11498.0723491485
1530000 11756.68241 11117.287384252
1540000 11808.341719 11437.8916659687
1550000 11848.507068 10738.1916238171
1560000 11882.762019 12018.6926675346
1570000 11770.530729 12325.8738955303
1580000 11816.701657 12147.8121477087
1590000 11834.314682 11309.3834433839
1600000 11869.454429 11372.7345708055
1610000 11771.629252 11814.9088427137
1620000 11816.576793 11811.646774838
1630000 11873.621918 13679.7315123932
1640000 11904.213357 13483.6535807958
1650000 11760.555014 11331.4832619967
1660000 11808.79638 11502.0762809118
1670000 11869.636057 11709.4578841367
1680000 11905.962372 11978.1171751183
1690000 11797.459704 13551.6183061831
1700000 11829.12591 12739.2794561582
1710000 11898.267972 13230.7246719548
1720000 11917.916156 12442.6045873478
1730000 11788.354821 11416.1082895428
1740000 11818.87027 11398.8594841481
1750000 11886.729736 11413.5642287395
1760000 11916.999641 11877.722408616
1770000 11756.520234 10526.9972744545
1780000 11813.656976 11591.2462936089
1790000 11871.427401 11238.4616076477
1800000 11917.670429 11947.2600465375
1810000 11804.03815 14375.0294566609
1820000 11848.003165 13608.6360504171
1830000 11900.478135 13363.941194252
1840000 11939.459259 13009.8097123873
