# files c_throughput i_throughput
1580000 16994.890712 11497.4146621206
1590000 17046.751144 10946.7157741343
1600000 17130.301122 11054.2126273691
1610000 16717.404856 11531.6478852721
1620000 16817.800907 11914.0236343027
1630000 16889.093437 12349.1703207398
1640000 16913.877598 11235.781456313
1650000 16587.413846 12633.4526723502
1660000 16674.041749 12386.0483528405
1670000 16702.939717 11526.0123268047
1680000 16782.124855 12719.7576623459
1690000 16436.378257 11948.5233860248
1700000 16527.180022 12103.1783973353
1710000 16589.735407 12930.8185191549
1720000 16611.53039 11641.3622395439
1730000 16239.049472 10774.0509168605
1740000 16329.622936 10828.5022305185
1750000 16403.506924 11084.2656409454
1760000 16430.182967 11181.3361116371
1770000 16120.590909 12254.395101926
1780000 16211.360586 12327.6973174418
1790000 16237.102774 11245.9437190634
1800000 16309.757524 12332.528105014
1810000 15904.239257 9978.3693842224
1820000 15987.805837 9907.8201250911
1830000 16053.521704 10660.0233308482
1840000 16090.563568 10026.6810004122
1850000 15600.704275 8371.2568783775
1860000 15674.889444 8291.2466195301
1870000 15633.564366 7116.4778839442
1880000 15598.351347 6480.0204776906
1890000 15334.056809 8564.0928155825
1900000 15414.382117 8694.9244518467
1910000 15470.993374 10410.144075665
1920000 15514.351915 12380.757836169
1930000 15260.042108 12426.0649084367
1940000 15336.547167 12369.6662150062
1950000 15372.890872 11800.0156908336
1960000 15395.279335 11250.5713275085
1970000 14920.241539 7192.5603038979
1980000 14994.740141 7205.8089006737
1990000 15017.748904 7063.1395232671
2000000 15006.939209 6711.491598937
2010000 14787.620525 10285.1321420674
2020000 14859.40141 10270.7102219817
2030000 14914.970926 11126.611086591
2040000 14877.116549 10385.1164646561
2050000 14507.709846 7435.3975441273
2060000 14547.739966 7064.7937028661
2070000 14608.821286 7155.1845048147
2080000 14603.381052 7533.7753242864
2090000 14393.487367 10255.4031317306
2100000 14449.30539 10715.3716117534
2110000 14487.877262 10142.520166781
2120000 14476.15938 9962.853490645
