#files c_throughput i_throughput
850000 1738.409213 1059.2825653902
860000 1685.874525 1068.2100204371
870000 1698.588288 1097.1700374304
880000 1702.888937 1033.0347782906
890000 1702.709279 1185.4091324821
900000 1648.532395 1116.7215451322
910000 1646.779735 990.0108649855
920000 1658.373519 1052.8656694687
930000 1651.582738 990.1032241457
940000 1599.555909 958.7044323266
950000 1599.270582 965.5498849321
960000 1605.821418 928.8402462899
970000 1610.398502 1019.3897618356
980000 1548.16383 882.1291892963
990000 1544.734982 853.5003714684
1000000 1554.190214 877.2506064495
1010000 1557.535174 867.2069451098
1020000 1503.375695 879.7941815805
1030000 1512.733891 1000.0046969417
1040000 1513.390992 913.7301622008
1050000 1522.747405 973.6471108513
1060000 1462.107033 860.0670343778
1070000 1464.567067 804.7498765181
1080000 1467.548858 820.9759822926
1090000 1479.071047 843.7763707869
1100000 1421.417714 818.0940473782
1110000 1424.892964 826.1978617218
1120000 1429.388308 839.7897677645
1130000 1442.14439 858.2524221869
1140000 1377.186405 742.1233415118
1150000 1386.056728 789.1727215424
1160000 1391.608459 799.7465433868
1170000 1397.076565 742.0094941253
1180000 1343.046114 787.0125487028
1190000 1349.646296 768.9258347913
1200000 1357.25707 791.0090528189
1210000 1358.357393 750.205573457
1220000 1290.393034 598.3669457586
1230000 1296.084927 594.3590058061
1240000 1284.976386 494.6689650887
1250000 1278.697442 460.9595108191
1260000 1235.563148 538.1441343786
1270000 1240.343523 534.0596216368
1280000 1242.656116 614.8796028384
1290000 1241.991407 654.6940163155
1300000 1197.326858 606.2988247869
1310000 1203.219701 616.9451916201
1320000 1205.205936 613.5266549916
1330000 1204.031395 606.3561586835
1340000 1162.96689 601.7441471613
1350000 1171.630712 629.9736020746
1360000 1180.308811 701.8489353558
1370000 1170.047423 603.5881568304
1380000 1134.063869 618.8379944853
1390000 1142.273175 618.8923801636
1400000 1148.226778 596.7431714005
1410000 1133.639189 548.7775991149
1420000 1074.446593 381.869183203
1430000 1082.009815 381.8876728439
1440000 1087.724717 382.4346447603
1450000 1077.734359 393.5727945523
1460000 1047.458454 553.714161019
1470000 1054.625636 553.672242946
1480000 1057.461053 528.3013704372
1490000 1046.871565 513.655355792
1500000 1016.843889 491.988826358
1510000 1023.610469 491.938387022
1520000 1024.6931 477.3711744626
1530000 1019.289266 514.4186818505
1540000 992.965568 528.0034726154
1550000 996.987383 503.0615410066
1560000 998.124585 502.7641200385
1570000 992.315761 493.1467891657
1580000 946.357245 337.1259517456
1590000 949.927302 335.7715066564
1600000 952.780534 343.7480717023
1610000 948.530309 347.2069783279
1620000 918.936103 428.5021508222
1630000 924.605422 448.9243493234
1640000 924.605356 423.5749659994
1650000 920.249912 418.2854706959
1660000 889.13235 384.3181516173
1670000 892.553492 369.9519516069
1680000 892.921715 371.2841068583
1690000 888.82102 368.9901770534
1700000 863.119695 389.8228260007
1710000 865.936649 385.7132451117
1720000 867.972486 399.3382834467
1730000 859.301374 357.5635788239
1740000 837.481063 370.1662385835
1750000 833.285803 319.0314689687
1760000 834.783409 315.7022124361
1770000 829.470044 331.5946161694
1780000 802.665405 285.8111752876
1790000 800.145329 292.0266002354
1800000 804.611539 310.6239519722
1810000 793.953039 274.274683977
1820000 776.584343 317.499141928
1830000 775.392038 325.195722119
1840000 779.625591 325.1957029622
1850000 767.757292 307.9674499023
1860000 753.181231 317.639031279
1870000 752.039872 316.2709587271
1880000 753.976666 299.9880894342
1890000 744.332655 308.7096269092
1900000 729.810304 298.7502901654
1910000 727.36627 287.0635554627
1920000 729.941188 292.1776008295
1930000 716.698145 260.217255468
1940000 701.587553 247.3087601083
1950000 700.087692 250.8574634597
1960000 703.67628 258.0265503403
1970000 690.448603 249.5127143738
1980000 678.123901 258.6267873759
1990000 677.041462 259.9202833213
2000000 679.05481 250.158463238
2010000 665.976916 242.5636332634
2020000 654.069682 237.3386381243
2030000 654.647686 247.454498865
2040000 654.056297 230.2460204748
2050000 640.183372 217.2910677829
2060000 630.834221 225.7830179044
2070000 631.116575 223.4679150515
2080000 631.641466 229.8721143807
2090000 618.978182 229.4563749466
2100000 607.357903 208.2447534583
2110000 606.75924 202.4392366365
2120000 608.098934 206.967079418
2130000 593.285252 187.2256058117
2140000 585.599068 203.2742095854
2150000 585.402606 204.9235544053
2160000 585.622252 197.9124008524
2170000 569.108285 179.5299528564
2180000 562.362427 180.0777729768
2190000 562.013015 178.5548201684
2200000 564.578369 192.0041838502
2210000 546.846572 175.1541119555
2220000 540.315343 172.2592762538
2230000 541.077695 178.0171107677
2240000 543.503634 178.0196032471
2250000 524.205983 159.4559758717
2260000 517.503762 154.7950123782
2270000 518.034359 153.5247474383
2280000 519.351427 148.8741216512
2290000 501.953034 148.1624484016
2300000 496.066358 148.5009943204
2310000 496.583512 148.2377431104
2320000 496.625716 142.1286519206
2330000 494.235194 262.8554987131
2340000 489.862803 284.9587075568
2350000 491.324533 304.8692343384
2360000 493.415067 358.8562560699
2370000 487.657568 274.7008234283
2380000 483.342068 271.736817735
2390000 485.372542 283.5604067567
2400000 486.739405 270.6753144109
2410000 481.635577 278.1340565686
2420000 476.832089 264.7028389449
